time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/clip_fraction,train/approx_kl
70656,69,173,118.9,407,338.98,-0.39591312408447266,356.8074607849121,0.0037615589681081474,-0.018358710018219426,0.00025,0.2,272,66.50575256347656,0.002685546875,0.003086066
71680,70,173,138.54,414,336.48,0.46593374013900757,166.73596239089966,-0.0004986212006770074,-0.024737870640819892,0.00025,0.2,276,41.15147399902344,0.000732421875,0.0073284665
72704,71,172,160.01,420,340.82,0.45692479610443115,745.4477443695068,-0.004989527864381671,-0.0856192831415683,0.00025,0.2,280,225.8185577392578,0.002197265625,0.0040790886
73728,72,172,168.85,427,369.18,0.44864797592163086,1278.9078102111816,-0.003857543517369777,-0.2356938924640417,0.00025,0.2,284,485.96551513671875,0.12841796875,0.09513334
74752,73,172,174.24,433,391.86,0.334913969039917,2233.0247344970703,0.014815551257925108,-0.16510744532570243,0.00025,0.2,288,1055.166259765625,0.102294921875,0.039353948
75776,74,172,177.43,439,412.45,0.21972548961639404,2439.04549407959,0.0033358608052367344,-0.4354756399989128,0.00025,0.2,292,1108.76953125,0.05908203125,0.020532336
76800,75,172,148.57,445,383.95,0.14609181880950928,2735.84912109375,0.022896219277754426,-0.06330647505819798,0.00025,0.2,296,1086.9276123046875,0.105224609375,0.1524392
77824,76,172,154.86,451,388.05,0.4927973747253418,2056.2488021850586,-0.011871296912431717,-0.17777217563707381,0.00025,0.2,300,805.0538330078125,0.063720703125,0.13034153
78848,77,172,158.26,458,398.28,0.3619604706764221,1964.552146911621,0.018070659192744642,-0.37794525921344757,0.00025,0.2,304,905.8143920898438,0.181396484375,0.0059167817
79872,78,171,160.35,464,405.51,0.3423067331314087,2905.572006225586,0.012832658365368843,-0.31324948836117983,0.00025,0.2,308,1657.6611328125,0.12890625,0.051541027
80896,79,172,160.35,470,405.51,0.41969847679138184,3122.2295837402344,0.007143025082768872,-0.009973819207516499,0.00025,0.2,312,1223.82568359375,0.00732421875,0.0140161235
81920,80,172,164.62,476,408.75,0.8382704257965088,481.8711185455322,-0.0034712210472207516,-0.049513644946273416,0.00025,0.2,316,131.32968139648438,0.0,0.00022068631
82944,81,172,181.09,481,418.67,0.3295924663543701,798.2907485961914,0.002678050601389259,-0.05489730043336749,0.00025,0.2,320,295.9832763671875,0.00927734375,0.0015286605
83968,82,171,193.21,488,433.43,0.49803024530410767,1068.2184753417969,-0.0007515334873460233,-0.07465513213537633,0.00025,0.2,324,536.7633666992188,0.005859375,0.0071783466
84992,83,171,201.49,494,455.64,0.5211753845214844,1562.4707717895508,-0.0043962539930362254,-0.1969982939772308,0.00025,0.2,328,664.9064331054688,0.02734375,0.02504124
86016,84,171,153.04,500,469.76,0.39538776874542236,2158.061065673828,0.003975238825660199,-0.22670329362154007,0.00025,0.2,332,867.1709594726562,0.040283203125,0.007030005
87040,85,171,144.01,506,486.65,0.36218130588531494,2632.6023864746094,-0.0038801913033239543,-0.18185602501034737,0.00025,0.2,336,1130.725341796875,0.0185546875,0.025509998
88064,86,171,129.34,512,445.62,0.12747740745544434,2487.077949523926,0.00947004693443887,-0.2562350295484066,0.00025,0.2,340,1128.9019775390625,0.143310546875,0.04035551
89088,87,171,126.92,518,426.88,0.35501956939697266,2917.8958435058594,0.008005424693692476,-0.04314767010509968,0.00025,0.2,344,1267.9068603515625,0.0126953125,0.01115787
90112,88,171,131.03,524,437.27,0.5539835691452026,1315.2310104370117,-0.00414493220159784,-0.11175129376351833,0.00025,0.2,348,535.26708984375,0.029541015625,0.07591925
91136,89,171,133.0,530,455.57,-0.1005251407623291,2546.822982788086,0.005087155208457261,-0.23078850284218788,0.00025,0.2,352,1115.2774658203125,0.047119140625,0.009118175
92160,90,171,131.84,536,442.73,0.274305522441864,2550.989761352539,9.958804002963006e-05,-0.15108302561566234,0.00025,0.2,356,1245.3353271484375,0.01513671875,0.018662129
93184,91,171,137.56,543,464.29,0.4521213173866272,2499.14404296875,0.010550349281402305,-0.2528204843401909,0.00025,0.2,360,1265.223388671875,0.107177734375,0.01459844
94208,92,171,137.87,549,475.08,0.3021136522293091,3166.848159790039,0.009500299289356917,-0.2855127672664821,0.00025,0.2,364,1585.8499755859375,0.08154296875,0.039575506
95232,93,171,123.46,554,487.06,0.5040804147720337,2670.7557373046875,-0.0006230641156435013,-0.11724461708217859,0.00025,0.2,368,1402.023193359375,0.011962890625,0.004775872
96256,94,171,125.19,560,506.85,0.3154987096786499,2436.5401000976562,-0.0018265290564158931,-0.169173130299896,0.00025,0.2,372,1217.144775390625,0.020263671875,0.009674343
97280,95,171,121.98,567,510.2,0.35206884145736694,2756.3122177124023,0.003279521013610065,-0.3317950386554003,0.00025,0.2,376,1614.2769775390625,0.072021484375,0.007811589
98304,96,171,123.23,573,513.42,0.4145914316177368,2613.4095306396484,0.004281881760107353,-0.3673292137682438,0.00025,0.2,380,1439.4241943359375,0.09619140625,0.024826532
99328,97,171,124.48,580,519.25,0.44305384159088135,2904.0950927734375,0.07959367692819797,-0.27572316117584705,0.00025,0.2,384,1186.2962646484375,0.56494140625,1.9506426
100352,98,171,117.12,586,495.67,0.5499085783958435,1477.554214477539,0.00029185149469412863,-0.004227452933264431,0.00025,0.2,388,481.7360534667969,0.0,1.344597e-08
101376,99,171,119.59,592,472.81,0.8110195398330688,547.1505699157715,0.00010471727000549436,-0.007709373348916415,0.00025,0.2,392,110.29499816894531,0.0,5.5041164e-07
102400,100,171,117.45,598,467.17,0.8884983062744141,370.7109031677246,-0.0014019188238307834,-0.024498003796907142,0.00025,0.2,396,156.4692840576172,0.000732421875,0.00146886
103424,101,171,143.77,604,476.47,0.5975736379623413,745.002721786499,0.0027295566396787763,-0.031522787699941546,0.00025,0.2,400,472.1980285644531,0.005859375,0.00038623874
104448,102,170,143.77,611,476.47,0.3628906011581421,1108.6714553833008,0.0010106200934387743,-0.028970664308872074,0.00025,0.2,404,409.4585876464844,0.006591796875,0.0032241484
105472,103,170,162.63,616,482.62,0.37505239248275757,328.1235656738281,-0.0016146297566592693,-0.13681007036939263,0.00025,0.2,408,199.7167510986328,0.019287109375,0.0044859815
106496,104,170,166.16,623,480.29,0.4985824227333069,1239.7138786315918,-0.00432366703171283,-0.15253766626119614,0.00025,0.2,412,495.4949951171875,0.024658203125,0.0066240993
107520,105,170,153.12,628,430.39,0.6203696727752686,1013.6858787536621,-2.324950764887035e-05,-0.35045326314866543,0.00025,0.2,416,457.4615478515625,0.10302734375,0.019634005
108544,106,170,151.79,634,415.59,0.5610036253929138,1818.1277542114258,-0.0006139214965514839,-0.16117632668465376,0.00025,0.2,420,875.0274658203125,0.00927734375,0.0072687753
109568,107,171,156.4,640,434.32,0.3178144097328186,2309.810646057129,0.0016418110753875226,-0.1786732254549861,0.00025,0.2,424,1026.0196533203125,0.031982421875,0.006221244
110592,108,171,160.69,646,446.88,0.3369690179824829,2309.2274475097656,0.00028413592372089624,-0.16133045218884945,0.00025,0.2,428,1025.7208251953125,0.015625,0.002330699
111616,109,171,154.44,652,427.59,0.3409653306007385,2937.5826568603516,0.0024495081743225455,-0.2020947290584445,0.00025,0.2,432,1602.61328125,0.031005859375,0.004004698
112640,110,171,148.2,657,398.24,0.36278897523880005,2324.6742248535156,0.0020868515712209046,-0.14026686642318964,0.00025,0.2,436,1044.8072509765625,0.014892578125,0.0041847406
113664,111,171,156.25,663,419.21,0.5104517340660095,2319.8291549682617,-0.01031266269274056,-0.21449737017974257,0.00025,0.2,440,957.5535278320312,0.0888671875,0.05309417
114688,112,171,160.06,669,438.65,0.3189758062362671,2772.8904724121094,0.009880735480692238,-0.31182385608553886,0.00025,0.2,444,1345.0177001953125,0.091796875,0.010607076
115712,113,171,159.69,675,459.78,0.4287916421890259,2132.718879699707,0.015827909170184284,-0.28049226524308324,0.00025,0.2,448,738.3104858398438,0.09375,0.068845786
116736,114,171,106.49,680,437.06,0.4462096095085144,3248.136474609375,0.003436118015088141,-0.03272897284477949,0.00025,0.2,452,1905.7535400390625,0.00830078125,0.0025484273
117760,115,171,113.84,686,451.46,0.6806894540786743,1658.6798286437988,-0.020296751812566072,-0.09072885988280177,0.00025,0.2,456,395.4957275390625,0.011474609375,0.015076342
118784,116,171,113.67,692,467.36,0.32844704389572144,2973.3463134765625,0.006173623114591464,-0.3041936308145523,0.00025,0.2,460,1409.2119140625,0.07470703125,0.005357139
119808,117,171,116.61,698,479.11,0.5256996154785156,2435.405693054199,0.0015379054530058056,-0.3761542718857527,0.00025,0.2,464,1273.3599853515625,0.083984375,0.020949539
120832,118,171,125.41,703,509.57,0.5605212450027466,1882.1236877441406,0.005842518788995221,-0.5862850751727819,0.00025,0.2,468,956.31494140625,0.18896484375,0.030826345
121856,119,171,130.1,709,518.75,0.6097426414489746,2431.1246948242188,0.008567045268137008,-0.5049348548054695,0.00025,0.2,472,922.4510498046875,0.23779296875,0.023330014
122880,120,171,131.46,715,514.31,0.7370938062667847,2010.227279663086,0.06343915348406881,-0.3127784999087453,0.00025,0.2,476,831.2041015625,0.700927734375,0.19441658
123904,121,171,133.07,721,517.8,0.6298405528068542,2763.769821166992,0.018359768844675273,-0.5214847289025784,0.00025,0.2,480,1111.2471923828125,0.28564453125,0.006394796
124928,122,171,131.66,727,510.8,0.5616098046302795,3114.4937591552734,0.030569712514989078,-0.39639533683657646,0.00025,0.2,484,1541.2342529296875,0.324951171875,0.29262313
125952,123,171,130.97,732,508.79,0.40859538316726685,4960.626037597656,-0.0011373307788744569,-0.16077601443976164,0.00025,0.2,488,3155.621826171875,0.03271484375,0.0060091494
126976,124,171,140.3,738,531.09,0.6749708652496338,2345.0925827026367,-0.005964131218206603,-0.40043905936181545,0.00025,0.2,492,1097.179931640625,0.045654296875,0.013027689
128000,125,171,138.2,744,525.68,0.7496001720428467,1805.9728317260742,0.0032436981273349375,-0.40613966435194016,0.00025,0.2,496,863.2025756835938,0.04150390625,0.009730284
129024,126,171,137.92,750,521.77,0.5264252424240112,3271.7511596679688,-1.9298255210742354e-05,-0.3926140610128641,0.00025,0.2,500,1278.3558349609375,0.08203125,0.012891622
130048,127,172,142.23,755,539.26,0.5558600425720215,2694.5382080078125,0.03621737292269245,-0.273382774554193,0.00025,0.2,504,1360.9210205078125,0.3037109375,0.22115852
131072,128,172,149.44,761,564.54,0.2551334500312805,3508.391845703125,0.0042230148683302104,-0.15675125923007727,0.00025,0.2,508,1899.2708740234375,0.044677734375,0.008195056
132096,129,172,156.32,767,590.6,0.480368971824646,2395.2266693115234,-0.0035659698769450188,-0.24677844438701868,0.00025,0.2,512,1116.1082763671875,0.04541015625,0.005500741
133120,130,172,148.41,772,571.39,0.47661155462265015,2930.885467529297,4.6851346269249916e-05,-0.21707487478852272,0.00025,0.2,516,1513.794921875,0.02587890625,0.0020133208
134144,131,172,151.09,778,581.85,0.5873574018478394,2771.1914978027344,4.9197988118976355e-05,-0.2839123532176018,0.00025,0.2,520,1442.0147705078125,0.05029296875,0.0025582886
135168,132,172,141.35,784,556.97,0.49560707807540894,2315.5595626831055,0.005500076076714322,-0.24610136728733778,0.00025,0.2,524,1039.2779541015625,0.051025390625,0.01234485
136192,133,172,136.33,790,552.9,0.47447627782821655,2891.6827545166016,0.00612777762580663,-0.24928505159914494,0.00025,0.2,528,1391.43994140625,0.041015625,0.0009688507
137216,134,172,133.61,796,561.74,0.3027190566062927,3186.6104888916016,0.00289533450268209,-0.42275642417371273,0.00025,0.2,532,1556.49365234375,0.079345703125,0.011126884
138240,135,172,132.37,801,558.72,0.4508897662162781,3809.455764770508,0.001679989043623209,-0.2969128107652068,0.00025,0.2,536,2193.3193359375,0.022705078125,0.0036002218
139264,136,172,142.66,807,595.99,0.2924315929412842,3122.8221588134766,-0.0011684475757647306,-0.27319584134966135,0.00025,0.2,540,1454.552978515625,0.03662109375,0.0027645999
140288,137,172,137.51,813,598.07,0.46300262212753296,3631.404769897461,-0.0005263468192424625,-0.23219185043126345,0.00025,0.2,544,1832.0374755859375,0.023681640625,0.0014684258
141312,138,172,134.48,819,591.65,0.5057265162467957,2753.6131439208984,0.00076933010132052,-0.31268822960555553,0.00025,0.2,548,1210.8955078125,0.02880859375,0.010510459
142336,139,172,133.9,824,589.61,0.5362324714660645,3165.144058227539,0.006632946344325319,-0.27384178899228573,0.00025,0.2,552,1716.83056640625,0.097900390625,0.009732373
143360,140,172,133.4,830,589.42,0.48809558153152466,4031.599838256836,0.010499326635908801,-0.23546127136796713,0.00025,0.2,556,2006.0587158203125,0.066162109375,0.023976624
144384,141,172,124.31,836,564.32,0.6178964376449585,2532.113784790039,0.02538986539002508,-0.2542546968907118,0.00025,0.2,560,1209.334716796875,0.191162109375,0.17569649
145408,142,172,123.71,842,547.56,0.4535108804702759,2917.43563079834,0.0038643769948976114,-0.08761448902077973,0.00025,0.2,564,1009.6605834960938,0.011474609375,0.002768831
146432,143,172,118.18,847,521.88,0.5602090358734131,2017.583885192871,-0.005329821055056527,-0.18476896360516548,0.00025,0.2,568,942.3110961914062,0.023681640625,0.008476314
147456,144,172,119.8,853,528.56,0.6027964353561401,1873.0215606689453,0.0024562861653976142,-0.2360585667192936,0.00025,0.2,572,968.1800537109375,0.026611328125,0.0035466782
148480,145,172,118.17,859,519.08,0.48444223403930664,2272.083297729492,-0.0013141670206096023,-0.3289870321750641,0.00025,0.2,576,938.5825805664062,0.046630859375,0.003610165
149504,146,172,120.95,864,531.15,0.5289456844329834,2667.0439453125,0.0016719985869713128,-0.35932073555886745,0.00025,0.2,580,1158.8016357421875,0.031005859375,0.0028584467
150528,147,172,119.68,870,531.17,0.45564204454421997,3438.867218017578,0.014814876369200647,-0.4029214158654213,0.00025,0.2,584,1843.032958984375,0.18359375,0.022722581
151552,148,173,123.86,875,545.16,0.5388952493667603,2625.158737182617,0.004514926898991689,-0.5055274777114391,0.00025,0.2,588,1199.8480224609375,0.217529296875,0.0066084675
152576,149,173,126.83,881,552.18,0.6326183676719666,2441.20890045166,0.030374017951544374,-0.35282923001796007,0.00025,0.2,592,1360.57275390625,0.393798828125,0.09150002
153600,150,173,130.8,886,556.11,0.7593695521354675,1304.676887512207,0.008581093468819745,-0.636456273496151,0.00025,0.2,596,684.4650268554688,0.195556640625,0.005038091
154624,151,173,136.44,892,549.26,0.5275681614875793,1104.3588333129883,0.0011850246810354292,-0.666486106812954,0.00025,0.2,600,564.2504272460938,0.08056640625,0.0010465925
155648,152,173,137.69,897,535.79,0.617300271987915,2750.3570709228516,-0.0030655783775728196,-0.6005480326712132,0.00025,0.2,604,1285.5941162109375,0.173828125,0.0029015886
156672,153,173,144.38,903,535.65,0.6142095327377319,1783.4202194213867,0.0023339486797340214,-0.6151124611496925,0.00025,0.2,608,898.3933715820312,0.06494140625,0.015287234
157696,154,173,143.9,908,531.28,0.6887527704238892,1297.761978149414,0.016577212081756443,-0.5745643600821495,0.00025,0.2,612,565.166259765625,0.277099609375,0.084326304
158720,155,173,145.16,914,531.11,0.7078971266746521,1475.0899963378906,0.032880625454708934,-0.5987791679799557,0.00025,0.2,616,994.7141723632812,0.427490234375,0.029189654
