time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate
2204652,83,167,507,0.005126953125,25.35427500000001,-0.0029329215176403522,8587,0.2,-0.003104999428614974,272.38,0.0011336838,-0.2224154807627201,0.00335495216131676,0.998399019241333,2.5e-05
2205676,84,167,513,0.0068359375,25.213550000000005,-0.00669044628739357,8591,0.2,-0.003082011826336384,271.33,0.0015795575,-0.21662097331136465,0.002650465685292147,0.9986563324928284,2.5e-05
2206700,85,167,519,0.008544921875,25.384350000000005,0.32519370317459106,8595,0.2,-0.002774245891487226,272.41,0.0014132841,-0.23332164343446493,0.4972446132451296,0.8334223031997681,2.5e-05
2207724,86,167,525,0.00537109375,25.391525000000005,-0.00039661955088377,8599,0.2,-0.0035762664265348576,272.4,0.0013927832,-0.2609019437804818,0.022462617082055658,0.9927899837493896,2.5e-05
2208748,87,167,531,0.00390625,25.591825000000007,-0.006756172515451908,8603,0.2,-0.002814087347360328,273.94,0.00088440155,-0.2236500596627593,0.003340454291901551,0.9984399676322937,2.5e-05
2209772,88,167,537,0.002197265625,25.578400000000006,-0.005239848047494888,8607,0.2,-0.003087385732214898,274.79,0.00088945305,-0.2201103614643216,0.007944687502458692,0.9968221783638,2.5e-05
2210796,89,167,544,0.0087890625,25.55385,0.007012258283793926,8611,0.2,-0.004304488480556756,275.43,0.0016818471,-0.29773361701518297,0.032801242428831756,0.9908831715583801,2.5e-05
2211820,90,167,550,0.006103515625,25.553850000000008,0.003689961042255163,8615,0.2,-0.004627172718755901,275.43,0.0019462635,-0.2622698722407222,0.015729115926660597,0.9952756762504578,2.5e-05
2212844,91,167,556,0.002685546875,25.54320000000001,-0.007382773328572512,8619,0.2,-0.002805059601087123,275.49,0.00083204533,-0.21037783846259117,0.00637178189936094,0.9971016645431519,2.5e-05
2213868,92,167,562,0.00244140625,25.555625,-8.150003850460052e-05,8623,0.2,-0.004639082413632423,274.87,0.0009865669,-0.23719272203743458,0.021634266711771488,0.993450939655304,2.5e-05
2214892,93,167,568,0.00146484375,25.5678,-0.008634614758193493,8627,0.2,-0.002646159613505006,274.35,0.00046810077,-0.21819379646331072,0.006732345413183793,0.9972761273384094,2.5e-05
2215916,94,167,574,0.003662109375,25.562874999999995,-0.004491893574595451,8631,0.2,-0.002262732567032799,274.8,0.0008638468,-0.2188957091420889,0.002329545335669536,0.9989867806434631,2.5e-05
2216940,95,167,581,0.00732421875,25.573375000000006,-0.00559049379080534,8635,0.2,-0.004254629136994481,274.8,0.0013153141,-0.25967160891741514,0.02165241976035759,0.9930958151817322,2.5e-05
2217964,96,167,587,0.00732421875,25.585974999999998,-0.00023517583031207323,8639,0.2,-0.002593766839709133,274.36,0.0012553635,-0.21867176704108715,0.002765512326732278,0.9988827109336853,2.5e-05
2218988,97,167,593,0.0048828125,25.586374999999997,-0.006295895203948021,8643,0.2,-0.0022572841262444854,274.37,0.000951196,-0.2174980966374278,0.0015177316599874757,0.9992718696594238,2.5e-05
2220012,98,167,599,0.012939453125,25.581700000000005,-0.001531869638711214,8647,0.2,-0.005903582787141204,274.9,0.0028047622,-0.23560481797903776,0.014679243497084826,0.9947429299354553,2.5e-05
2221036,99,167,605,0.008056640625,25.321074999999997,0.003896991955116391,8651,0.2,-0.0033859393297461793,272.5,0.0018238851,-0.26795381121337414,0.02050714025972411,0.9937541484832764,2.5e-05
2222060,100,167,612,0.005126953125,25.055200000000003,0.38664552569389343,8655,0.2,-0.0016279174597002566,270.85,0.0010704868,-0.22954469732940197,0.7434452958405018,0.7218071818351746,2.5e-05
2223084,101,167,618,0.00244140625,25.044025000000005,0.3911951780319214,8659,0.2,-0.0015192483260761946,270.87,0.0004462154,-0.30229478143155575,0.6862020092085004,0.8415697813034058,2.5e-05
2224108,102,167,624,0.00048828125,25.043374999999997,0.008052184246480465,8663,0.2,-0.001749010814819485,270.87,0.00022850011,-0.23388521559536457,0.023363371496088803,0.9904738664627075,2.5e-05
2225132,103,167,630,0.00439453125,25.042725,-0.0012748767621815205,8667,0.2,-0.0013590131857199594,270.87,0.00082047976,-0.22474445775151253,0.00908383511705324,0.9949363470077515,2.5e-05
