time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance
1141796,183.12,184,437,15.0634,79,0.0026807273,0.01220703125,0.3368735909461975,0.7600479237735271,-0.5724014081060886,0.0001,4448,-0.0039215192082338035,0.2,0.7737424373626709
1142820,187.99,184,443,15.341,80,0.0029700072,0.01953125,0.43137025833129883,1.0960211157798767,-0.538249846547842,0.0001,4452,-0.0007802459003869444,0.2,0.8267480134963989
1143844,183.44,184,449,15.234500000000002,81,0.00806843,0.040283203125,0.31051206588745117,0.7705564312636852,-0.5286650471389294,0.0001,4456,-0.0050994857447221875,0.2,0.7966609001159668
1144868,181.29,184,454,15.444199999999999,82,0.014430204,0.109619140625,0.3111889064311981,1.0132038220763206,-0.6273802183568478,0.0001,4460,-0.004504099197220057,0.2,0.761076807975769
1145892,182.32,184,460,15.4914,83,0.004031794,0.015869140625,0.14967845380306244,0.4655849616974592,-0.5741360560059547,0.0001,4464,-0.002251768746646121,0.2,0.8120280504226685
1146916,182.49,184,465,15.428600000000003,84,0.0052705854,0.026611328125,0.36687198281288147,0.8588463664054871,-0.6251525953412056,0.0001,4468,-0.0033332594321109354,0.2,0.7051634788513184
1147940,188.69,184,471,15.6679,85,0.005978995,0.02978515625,0.1905198097229004,0.6820195931941271,-0.6126329936087132,0.0001,4472,-0.005927014572080225,0.2,0.6548916101455688
1148964,188.55,184,476,15.652099999999997,86,0.00806608,0.071044921875,0.3211010992527008,0.6929530799388885,-0.5574862957000732,0.0001,4476,-0.0020455807098187506,0.2,0.8053725957870483
1149988,188.92,184,482,15.8586,87,0.011160754,0.07373046875,0.26866042613983154,0.618343498557806,-0.5753870792686939,0.0001,4480,-0.004299936263123527,0.2,0.8005087375640869
1151012,196.14,184,488,16.379700000000003,88,0.0043881745,0.023193359375,0.21431340277194977,0.46500062197446823,-0.5842437595129013,0.0001,4484,-0.0038254365499597043,0.2,0.8076906204223633
1152036,197.47,184,493,16.4558,89,0.010413067,0.108642578125,0.4200497269630432,0.8586367592215538,-0.6667113490402699,0.0001,4488,-0.0009495850536040962,0.2,0.7655841112136841
1153060,201.02,184,499,16.4936,90,0.006167461,0.02490234375,0.3579127788543701,0.6472481675446033,-0.6771021448075771,0.0001,4492,-0.0006008545751683414,0.2,0.6546518206596375
1154084,199.75,184,504,16.3828,91,0.011462589,0.142333984375,0.3885437846183777,1.0620544850826263,-0.7190295159816742,0.0001,4496,-0.003860567056108266,0.2,0.7314280867576599
1155108,204.34,184,510,16.601000000000003,92,0.002782676,0.02685546875,0.22147391736507416,0.551671190187335,-0.6002859733998775,0.0001,4500,-0.0006514755368698388,0.2,0.8283795118331909
1156132,208.77,184,515,16.816899999999997,93,0.006332928,0.0732421875,0.1927509903907776,0.6195238251239061,-0.6253279037773609,0.0001,4504,-0.005696528794942424,0.2,0.8309547305107117
1157156,203.4,184,521,16.3962,94,0.0074157184,0.03369140625,0.3556402325630188,0.8162229582667351,-0.5945480801165104,0.0001,4508,-0.004450411914149299,0.2,0.7716950178146362
1158180,203.19,184,526,16.4615,95,0.005475024,0.02734375,0.5041476488113403,1.1177007108926773,-0.5943364016711712,0.0001,4512,-0.0013570419105235487,0.2,0.5526850819587708
1159204,201.41,184,532,16.2078,96,0.0044375136,0.039306640625,0.4419039487838745,0.9410039633512497,-0.5754379853606224,0.0001,4516,-0.0045908798929303885,0.2,0.6582753658294678
1160228,198.53,184,537,16.1246,97,0.0041710995,0.027099609375,0.63553786277771,1.2956693693995476,-0.6071539260447025,0.0001,4520,-0.00037105329101905227,0.2,0.6052693128585815
1161252,198.48,184,543,16.239199999999997,98,0.0054766643,0.028076171875,0.27985548973083496,0.7375281993299723,-0.6286949180066586,0.0001,4524,-0.003275525290518999,0.2,0.714664876461029
1162276,196.16,184,549,16.185299999999998,99,0.005342967,0.030517578125,0.2282293289899826,0.4671232830733061,-0.5712670907378197,0.0001,4528,-0.002723411802435294,0.2,0.8124646544456482
1163300,193.26,184,554,15.918100000000003,100,0.003622829,0.02294921875,0.5829230546951294,1.1634505949914455,-0.5532302148640156,0.0001,4532,-0.004026354174129665,0.2,0.7662034034729004
1164324,197.02,184,560,16.169699999999995,101,0.0042535574,0.025146484375,0.532468318939209,1.1083374433219433,-0.5499253943562508,0.0001,4536,-0.0031461287871934474,0.2,0.6027033925056458
1165348,197.36,184,565,16.2367,102,0.009133701,0.060302734375,0.26194337010383606,0.6056559011340141,-0.6085833609104156,0.0001,4540,-0.0053497123008128256,0.2,0.8080136775970459
1166372,196.4,184,571,16.2958,103,0.0046243654,0.062744140625,0.4630403220653534,0.9995995499193668,-0.5074912328273058,0.0001,4544,0.0016239875694736838,0.2,0.708448052406311
