time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss
479,2186220,65,29.905999999999995,138,271.55,0.9173624515533447,0.0041993335,8515,0.0283203125,0.2,0.0001,-0.0042423210688866675,0.6729285642504692,0.2683470845222473,-0.26236056722700596
486,2187244,66,29.905899999999992,138,271.79,0.9936626553535461,0.0036115018,8519,0.0185546875,0.2,0.0001,-0.00279653663164936,0.039847340958658606,0.0031401135493069887,-0.280304417014122
494,2188268,67,29.90629999999999,138,271.86,0.9980972409248352,0.004932671,8523,0.01904296875,0.2,0.0001,-0.005575008050072938,0.009883324295515195,-0.009245332330465317,-0.27194948866963387
500,2189292,68,29.622999999999998,139,268.82,0.9992050528526306,0.0029543592,8527,0.0205078125,0.2,0.0001,-0.004608572460711002,0.005995875515509397,-0.005123809911310673,-0.2684570550918579
508,2190316,69,29.619600000000002,139,270.08,0.8989366888999939,0.0071738814,8531,0.041015625,0.2,0.0001,-0.006196608592290431,0.8315287455916405,0.27217647433280945,-0.3007255382835865
515,2191340,70,29.62259999999999,138,269.66,0.9885206818580627,0.005408613,8535,0.02587890625,0.2,0.0001,-0.004480039176996797,0.08140558330342174,0.011164717376232147,-0.3119961582124233
522,2192364,71,29.7436,139,270.3,0.9967681169509888,0.0047596656,8539,0.023193359375,0.2,0.0001,-0.004503759555518627,0.017755226930603385,-0.009276054799556732,-0.2733098026365042
529,2193388,72,29.74629999999999,139,269.41,0.9728965163230896,0.0039666477,8543,0.023681640625,0.2,0.0001,-0.0040796914108796045,0.1571091557852924,0.04691573977470398,-0.22569346241652966
536,2194412,73,29.748499999999993,139,268.13,0.9949570894241333,0.0029825396,8547,0.015869140625,0.2,0.0001,-0.002624258166179061,0.029783413221593946,-0.0019275550730526447,-0.27734669856727123
542,2195436,74,29.675399999999996,139,267.99,0.994624137878418,0.0031911898,8551,0.018798828125,0.2,0.0001,-0.004414449264004361,0.03542972030118108,-0.00040470995008945465,-0.2556869760155678
549,2196460,75,29.67609999999999,139,267.96,0.9774098992347717,0.004687843,8555,0.0224609375,0.2,0.0001,-0.006702891900204122,0.17020503198727965,0.049780383706092834,-0.3060365878045559
557,2197484,76,29.674299999999995,139,268.99,0.9961529970169067,0.0025637439,8559,0.031982421875,0.2,0.0001,-0.0033018251706380397,0.021300652239006013,-0.008368933573365211,-0.3004904855042696
564,2198508,77,29.674399999999995,139,268.99,0.9988621473312378,0.006809989,8563,0.043212890625,0.2,0.0001,-0.007603124948218465,0.008039317763177678,-0.020733283832669258,-0.30367231741547585
570,2199532,78,29.677399999999988,139,267.83,0.9991564154624939,0.003034575,8567,0.016357421875,0.2,0.0001,-0.002787488992908038,0.006458401010604575,-0.006329932250082493,-0.24223583191633224
578,2200556,79,29.63659999999999,139,267.08,0.9995051622390747,0.00463392,8571,0.0224609375,0.2,0.0001,-0.0064929130603559315,0.0034478244342608377,-0.008871213532984257,-0.2396167814731598
586,2201580,80,29.522300000000005,139,267.0,0.9718092679977417,0.003828906,8575,0.022705078125,0.2,0.0001,-0.005508642621862236,0.18204754451289773,0.044882532209157944,-0.25457128416746855
593,2202604,81,29.522199999999987,139,266.98,0.9819082021713257,0.0028980016,8579,0.0244140625,0.2,0.0001,-0.004501867311773822,0.14587048161774874,0.0495670884847641,-0.28837562911212444
600,2203628,82,29.72689999999999,139,269.59,0.9947953820228577,0.0022452937,8583,0.017578125,0.2,0.0001,-0.0017369055931339972,0.02332442218903452,-0.0011780099011957645,-0.26554939057677984
607,2204652,83,29.727499999999992,139,269.23,0.9216325283050537,0.0023792842,8587,0.015869140625,0.2,0.0001,-0.0029921866953372955,0.6575889531522989,0.2795542776584625,-0.2975278478115797
614,2205676,84,29.524099999999994,139,267.09,0.9958005547523499,0.0010941925,8591,0.007568359375,0.2,0.0001,-0.0033898578258231282,0.021240034664515406,-0.003373599611222744,-0.27132080029696226
621,2206700,85,29.72609999999999,140,269.7,0.91518235206604,0.0023568482,8595,0.01416015625,0.2,0.0001,-0.0016521118232049048,0.5884309150278568,0.2028205394744873,-0.2695955615490675
627,2207724,86,29.72759999999999,140,268.7,0.9917957782745361,0.0058835614,8599,0.02490234375,0.2,0.0001,-0.007177555118687451,0.06624938978347927,0.012043384835124016,-0.33370915055274963
634,2208748,87,29.72769999999999,140,268.67,0.9981080889701843,0.004703765,8603,0.02099609375,0.2,0.0001,-0.004337012505857274,0.015522600442636758,-0.00046227965503931046,-0.2585685793310404
641,2209772,88,29.72809999999999,140,268.44,0.9985699653625488,0.007005478,8607,0.0380859375,0.2,0.0001,-0.005510926130227745,0.009769997152034193,-0.00585407018661499,-0.2816167203709483
648,2210796,89,29.728199999999987,140,267.88,0.9993520379066467,0.0028262036,8611,0.02197265625,0.2,0.0001,-0.003503098851069808,0.0064804053545231,-0.0007772967219352722,-0.24726369511336088
656,2211820,90,29.93329999999999,140,269.87,0.9996235370635986,0.005269243,8615,0.047119140625,0.2,0.0001,-0.006102605315390974,0.0035683176829479635,-0.0037879759911447763,-0.25538150034844875
662,2212844,91,29.93359999999999,140,269.62,0.9997673034667969,0.011216968,8619,0.0234375,0.2,0.0001,-0.006974933319725096,0.0029007832054048777,-0.020728303119540215,-0.300237700343132
669,2213868,92,29.93419999999999,140,269.35,0.9992974996566772,0.0043116906,8623,0.02490234375,0.2,0.0001,-0.005689884477760643,0.005753932549851015,-0.014248307794332504,-0.2676004469394684
675,2214892,93,29.892799999999994,140,268.77,0.9995266199111938,0.0052516526,8627,0.039794921875,0.2,0.0001,-0.005930822109803557,0.0037895931309321895,-0.015623141080141068,-0.2618081783875823
682,2215916,94,29.852199999999993,141,268.57,0.9865239262580872,0.0051969877,8631,0.035888671875,0.2,0.0001,-0.004281975037883967,0.08924740005750209,0.018947839736938477,-0.25424009189009666
689,2216940,95,30.139899999999994,141,270.73,0.9904390573501587,0.0037201701,8635,0.020263671875,0.2,0.0001,-0.0053734609100501984,0.07424548547714949,0.012406405061483383,-0.27911829203367233
695,2217964,96,30.142599999999995,141,269.67,0.9964464902877808,0.00567313,8639,0.0302734375,0.2,0.0001,-0.0037667733849957585,0.022364985023159534,-0.00895278062671423,-0.30771198123693466
702,2218988,97,30.14089999999999,141,270.87,0.9945927262306213,0.005238171,8643,0.02783203125,0.2,0.0001,-0.0077971447026357055,0.035805015941150486,-0.0007507670670747757,-0.32370281778275967
709,2220012,98,30.1831,141,271.52,0.9837597608566284,0.007616336,8647,0.044189453125,0.2,0.0001,-0.0030897838878445327,0.159772883169353,0.06085605546832085,-0.3490951433777809
716,2221036,99,30.182799999999997,141,271.67,0.9978358149528503,0.0035620842,8651,0.0205078125,0.2,0.0001,-0.0049979856121353805,0.019224404939450324,-0.003862883895635605,-0.3249508086591959
723,2222060,100,30.183399999999995,141,271.72,0.9987987875938416,0.003751986,8655,0.021728515625,0.2,0.0001,-0.004938421479891986,0.0109752195130568,-0.011174116283655167,-0.3210567217320204
730,2223084,101,30.257999999999996,141,271.7,0.9992292523384094,0.0028883466,8659,0.019287109375,0.2,0.0001,-0.004108930821530521,0.007091883322573267,-0.012014336884021759,-0.2953149899840355
737,2224108,102,30.218199999999992,141,270.44,0.9995903372764587,0.0067479387,8663,0.03955078125,0.2,0.0001,-0.0077939189213793725,0.002763752912869677,-0.013494578190147877,-0.29450181778520346
744,2225132,103,30.219099999999994,141,270.57,0.9887113571166992,0.0110971145,8667,0.047607421875,0.2,0.0001,-0.004824247444048524,0.0768072281498462,0.04053456708788872,-0.2633596658706665
750,2226156,104,30.016399999999994,141,268.84,0.9987865686416626,0.005270336,8671,0.028076171875,0.2,0.0001,-0.005995126266498119,0.008262610906967893,-0.017072029411792755,-0.3029628321528435
757,2227180,105,29.92589999999999,141,267.74,0.9197302460670471,0.0037065663,8675,0.021240234375,0.2,0.0001,-0.0023203290184028447,0.6343494188040495,0.2960514426231384,-0.27710159681737423
764,2228204,106,29.72209999999999,141,266.01,0.9472671747207642,0.0011478711,8679,0.006591796875,0.2,0.0001,-0.0016005823272280395,0.4437743928283453,0.3102646768093109,-0.3119586165994406
770,2229228,107,29.721799999999995,142,266.55,0.9310534596443176,0.0040342784,8683,0.013427734375,0.2,0.0001,-0.00306592567358166,0.5175923481583595,0.25615978240966797,-0.3009702432900667
777,2230252,108,29.721899999999994,142,266.42,0.9911705851554871,0.0024337412,8687,0.020263671875,0.2,0.0001,-0.0015140249306568876,0.04952063108794391,0.0025764848105609417,-0.3073671292513609
784,2231276,109,29.924099999999996,142,267.89,0.9966086745262146,0.0059012934,8691,0.04833984375,0.2,0.0001,-0.007578854798339307,0.01914382283575833,-0.01691080443561077,-0.31654352881014347
790,2232300,110,30.12939999999999,142,269.67,0.990382969379425,0.0032283007,8695,0.025390625,0.2,0.0001,-0.00468619073217269,0.07315788045525551,0.005914073437452316,-0.3508451860398054
797,2233324,111,30.131599999999995,142,269.26,0.9982630014419556,0.004323499,8699,0.020751953125,0.2,0.0001,-0.005429175507742912,0.010367404931457713,-0.00850664358586073,-0.30664571560919285
803,2234348,112,29.884299999999993,142,267.05,0.9989972710609436,0.0055973413,8703,0.029541015625,0.2,0.0001,-0.006340529100270942,0.006411835696781054,-0.020797887817025185,-0.31257973797619343
810,2235372,113,29.8869,142,266.85,0.9219396710395813,0.010291327,8707,0.04052734375,0.2,0.0001,-0.005724511342123151,0.6781775299459696,0.38001108169555664,-0.36071677319705486
817,2236396,114,29.888799999999996,142,266.99,0.993418276309967,0.0040812804,8711,0.02197265625,0.2,0.0001,-0.0029735091666225344,0.03428174223517999,-0.004354357719421387,-0.3091688025742769
824,2237420,115,29.8906,142,267.15,0.9972407221794128,0.0019837285,8715,0.010009765625,0.2,0.0001,-0.004178536968538538,0.012984571600100026,-0.005501403473317623,-0.2996367085725069
831,2238444,116,29.653599999999994,142,266.87,0.9702696800231934,0.0086890105,8719,0.038818359375,0.2,0.0001,-0.015186733726295643,0.1556924795731902,0.02242787927389145,-0.3348573315888643
838,2239468,117,29.656199999999995,142,266.21,0.9035065174102783,0.00399768,8723,0.015380859375,0.2,0.0001,-0.0023786297242622823,0.6929848454892635,0.3996354341506958,-0.32895344123244286
844,2240492,118,29.65619999999999,143,266.58,0.9907418489456177,0.0026378073,8727,0.01171875,0.2,0.0001,-0.0027259886846877635,0.04540542745962739,-0.005177635699510574,-0.32768959179520607
850,2241516,119,29.699799999999996,143,267.06,0.9967483282089233,0.0054307575,8731,0.026123046875,0.2,0.0001,-0.004668510140618309,0.018777704623062164,-0.01080784760415554,-0.3461924307048321
857,2242540,120,29.7428,143,267.16,0.9985572099685669,0.004578147,8735,0.014892578125,0.2,0.0001,-0.0041082846582867205,0.007753317186143249,-0.009380357339978218,-0.3209835682064295
864,2243564,121,29.744599999999995,143,267.3,0.9989508986473083,0.004612355,8739,0.02490234375,0.2,0.0001,-0.005845547275384888,0.00656468013767153,-0.015328318811953068,-0.30867987498641014
871,2244588,122,29.702499999999997,143,266.89,0.9986211657524109,0.010048728,8743,0.041748046875,0.2,0.0001,-0.011692224652506411,0.011992758110864088,-0.020027663558721542,-0.34477970004081726
881,2245612,123,29.5445,142,264.76,0.985036313533783,0.0058852537,8747,0.0224609375,0.2,0.0001,-0.005653265252476558,0.09444058174267411,0.010274669155478477,-0.30444153770804405
890,2246636,124,29.546599999999998,142,264.72,0.9451254606246948,0.002343948,8751,0.010498046875,0.2,0.0001,-0.0037411621306091547,0.5138846356421709,0.1598665565252304,-0.3480195477604866
898,2247660,125,29.5491,142,264.46,0.9949779510498047,0.0038991675,8755,0.02783203125,0.2,0.0001,-0.005695405910955742,0.024598844640422612,-0.010184954851865768,-0.36239770613610744
