time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss
961568,166.29,183,352,12.991100000000001,63,0.0001,0.14892578125,3744,-0.8896864876151085,0.01641486,0.5785869359970093,0.2,0.23024313151836395,0.7133233584463596,-0.008000216374057345
962592,164.22,183,357,12.870999999999997,64,0.0001,0.05859375,3748,-0.9582273662090302,0.006084263,0.7191139459609985,0.2,0.2394276112318039,0.7845690101385117,0.0014127797621767968
963616,163.63,183,363,12.788799999999998,65,0.0001,0.0048828125,3752,-0.8923395723104477,0.0012280939,0.759024441242218,0.2,0.299129456281662,0.657416794449091,-0.002450881409458816
964640,161.81,183,369,12.670799999999996,66,0.0001,0.124267578125,3756,-0.9304641000926495,0.011586097,0.7979612350463867,0.2,0.21757373213768005,0.5730591341853142,-0.005118732224218547
965664,170.92,183,374,12.578300000000002,67,0.0001,0.070556640625,3760,-0.927533220499754,0.008331908,0.7950118184089661,0.2,0.34591010212898254,0.741718202829361,-0.0037470571842277423
966688,168.64,182,380,12.526700000000003,68,0.0001,0.03076171875,3764,-0.882386676967144,0.0047814646,0.6351901292800903,0.2,0.3308013379573822,0.7236355170607567,-0.0022144364629639313
967712,171.49,182,386,12.7178,69,0.0001,0.050048828125,3768,-0.8459381833672523,0.006121588,0.5882014036178589,0.2,0.25400105118751526,0.6102684624493122,-0.005979082401609048
968736,176.08,182,391,13.025499999999997,70,0.0001,0.057861328125,3772,-0.8521304950118065,0.005594642,0.5437036156654358,0.2,0.27142205834388733,0.6414955481886864,-0.002520526701118797
969760,173.45,182,397,12.8426,71,0.0001,0.123779296875,3776,-0.9114465415477753,0.011502218,0.748579740524292,0.2,0.16735303401947021,0.4996787663549185,-0.007143975613871589
970784,170.92,182,402,12.657600000000002,72,0.0001,0.056396484375,3780,-0.8454563617706299,0.005305286,0.5057085752487183,0.2,0.42802339792251587,0.9493606612086296,0.000488423218484968
971808,170.83,182,408,12.625399999999997,73,0.0001,0.036865234375,3784,-0.8490406051278114,0.008679537,0.5821062326431274,0.2,0.3644999861717224,0.9232513830065727,-0.0027201491757296026
972832,168.09,182,414,12.4153,74,0.0001,0.0166015625,3788,-0.7931725010275841,0.0043641096,0.6071283221244812,0.2,0.305612713098526,0.7535570748150349,-0.0004061227955389768
973856,167.46,182,419,12.313999999999998,75,0.0001,0.06591796875,3792,-0.8339951075613499,0.0088602295,0.3343048095703125,0.2,0.6296383738517761,1.2186816185712814,-0.002303491113707423
974880,165.82,182,425,12.1567,76,0.0001,0.015869140625,3796,-0.8422390520572662,0.004210269,0.591831624507904,0.2,0.33994555473327637,0.7987532131373882,-0.0007182341942097992
975904,163.75,182,431,11.883399999999996,77,0.0001,0.0419921875,3800,-0.8250371664762497,0.008143234,0.5900559425354004,0.2,0.32465967535972595,0.7444089539349079,-0.003958787041483447
976928,161.01,182,436,11.6104,78,0.0001,0.04931640625,3804,-0.8039758317172527,0.0092961695,0.5867215394973755,0.2,0.36184778809547424,0.8178646303713322,-0.0028911198023706675
977952,167.57,182,442,11.912799999999999,79,0.0001,0.048583984375,3808,-0.9344664737582207,0.004541572,0.7570011019706726,0.2,0.2625025808811188,0.5899449177086353,-0.004686778847826645
978976,167.06,182,447,11.7085,80,0.0001,0.0439453125,3812,-0.9039967358112335,0.006219646,0.8133955001831055,0.2,0.21334369480609894,0.4588757138699293,-0.0033551412634551525
980000,167.88,182,453,11.755400000000002,81,0.0001,0.0185546875,3816,-0.8587905056774616,0.004697884,0.6300389766693115,0.2,0.2817206382751465,0.6799213252961636,-0.0023918771476019174
981024,155.37,182,459,11.7141,82,0.0001,0.037353515625,3820,-0.8142089731991291,0.0046428423,0.584632396697998,0.2,0.27345359325408936,0.8638135939836502,-0.003862092853523791
982048,153.4,182,464,11.610699999999998,83,0.0001,0.0126953125,3824,-0.8250730596482754,0.0024342244,0.6032284498214722,0.2,0.22011253237724304,0.5296153053641319,-0.0020019657677039504
983072,145.06,182,470,11.048300000000001,84,0.0001,0.027099609375,3828,-0.8070466257631779,0.0025016835,0.608912467956543,0.2,0.3632664680480957,0.6894863322377205,-0.004803865740541369
984096,143.54,182,475,10.9711,85,0.0001,0.013671875,3832,-0.8173000440001488,0.002355061,0.680904746055603,0.2,0.44498345255851746,0.786787886172533,-0.0026500940148252994
985120,149.85,182,481,11.235700000000001,86,0.0001,0.023681640625,3836,-0.8501794300973415,0.0030608296,0.5081287622451782,0.2,0.30210524797439575,0.7562308721244335,-0.0005623634497169405
986144,152.73,182,487,11.4543,87,0.0001,0.07470703125,3840,-0.84429020434618,0.008842428,0.6495906114578247,0.2,0.23433968424797058,0.7814652398228645,-0.006135271454695612
987168,149.32,182,492,11.2029,88,0.0001,0.039306640625,3844,-0.847600094974041,0.004166712,0.6683098673820496,0.2,0.3031611144542694,0.6265818625688553,-0.0024898910196498036
988192,153.41,182,498,11.4971,89,0.0001,0.020751953125,3848,-0.805000901222229,0.0050135558,0.6345868110656738,0.2,0.2901582717895508,0.7564428336918354,-0.003296005423180759
989216,156.08,182,504,11.6626,90,0.0001,0.09326171875,3852,-0.7938521578907967,0.012058326,0.6478521823883057,0.2,0.19342689216136932,0.5519002247601748,-0.0034504012583056465
