rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,train/loss
127.59,173,9.520900000000001,366,634068,62,0.2,-0.9329212717711926,0.0031750933,-0.0016620535170659423,0.9712706580758095,0.003173828125,0.4906752109527588,2468,0.0001,0.3822931945323944
128.66,173,9.6703,372,635092,63,0.2,-0.886088740080595,0.0037586906,-0.0015882037987466902,0.750558078289032,0.009521484375,0.47431057691574097,2472,0.0001,0.2558158338069916
124.97,173,9.6022,377,636116,64,0.2,-0.9065515734255314,0.008965763,-0.004740400821901858,0.811314333230257,0.054443359375,0.4948136806488037,2476,0.0001,0.34034213423728943
123.27,173,9.4579,383,637140,65,0.2,-0.9004104249179363,0.0007961761,-0.0005527856992557645,0.5284233223646879,0.001220703125,0.6385858058929443,2480,0.0001,0.24644358456134796
126.28,173,9.6402,389,638164,66,0.2,-0.9256762526929379,0.006873766,-0.0035715293779503554,0.466893520206213,0.026611328125,0.6327283382415771,2484,0.0001,0.20442582666873932
124.67,173,9.534600000000001,394,639188,67,0.2,-0.9433486312627792,0.0017030112,-0.002749851322732866,0.5267225205898285,0.0,0.5978304147720337,2488,0.0001,0.26866546273231506
127.63,173,9.607299999999999,400,640212,68,0.2,-0.963069986552,0.011397584,-0.0030933538218960166,0.5595455635339022,0.081787109375,0.4363493323326111,2492,0.0001,0.26167920231819153
126.22,174,9.343300000000001,405,641236,69,0.2,-0.9897576682269573,0.011788344,-0.004699807846918702,0.5874336436390877,0.064697265625,0.44067925214767456,2496,0.0001,0.3029095530509949
122.81,174,9.1252,411,642260,70,0.2,-0.9649077728390694,0.0011430024,-0.0015044055180624127,0.80058453977108,0.0078125,0.47126322984695435,2500,0.0001,0.3407791554927826
128.54,174,9.418699999999998,416,643284,71,0.2,-0.9888924546539783,0.0028481686,-0.0018031802610494196,0.6598810777068138,0.016357421875,0.3462488651275635,2504,0.0001,0.25925153493881226
129.05,174,9.39,422,644308,72,0.2,-0.9670622497797012,0.004847817,-0.0023571178899146616,0.6318564563989639,0.01904296875,0.44286012649536133,2508,0.0001,0.24590884149074554
131.47,174,9.4452,428,645332,73,0.2,-0.9808486476540565,0.00839413,-0.0006124030915088952,0.6789690759032965,0.03564453125,0.504609227180481,2512,0.0001,0.27584129571914673
132.33,174,9.460600000000001,433,646356,74,0.2,-0.9099627137184143,0.009368488,-0.003573725902242586,0.3058750918135047,0.036865234375,0.6153017282485962,2516,0.0001,0.11805850267410278
134.9,174,9.5577,439,647380,75,0.2,-0.949564341455698,0.009052172,-0.003313702472951263,0.804727416485548,0.056640625,0.5285834074020386,2520,0.0001,0.3318566083908081
133.41,174,9.4197,444,648404,76,0.2,-0.9749714583158493,0.0013488851,-0.0011444226693129167,0.5808640234172344,0.003662109375,0.5573124885559082,2524,0.0001,0.2761572003364563
134.84,175,9.432099999999998,450,649428,77,0.2,-0.9808259978890419,0.001960191,-0.0012445462634786963,0.6555069796741009,0.003173828125,0.3213130831718445,2528,0.0001,0.29743900895118713
134.86,175,9.456999999999999,455,650452,78,0.2,-1.0028485544025898,0.0013768526,-0.0007883436337579042,0.9639825001358986,0.005859375,0.38611698150634766,2532,0.0001,0.3976961076259613
133.84,175,9.4557,461,651476,79,0.2,-0.9567198716104031,0.0016201152,-0.0014192148737492971,0.5371309220790863,0.0009765625,0.5194354057312012,2536,0.0001,0.22299349308013916
132.79,175,9.452799999999998,467,652500,80,0.2,-0.9531199373304844,0.002287901,-0.003581810546165798,0.6219323463737965,0.004150390625,0.623834490776062,2540,0.0001,0.26139605045318604
133.36,175,9.6432,472,653524,81,0.2,-0.9934468120336533,0.0025107237,-0.0011804570676758885,0.5689004864543676,0.00146484375,0.5737732648849487,2544,0.0001,0.24428632855415344
