time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance
2186220,147,65,-4.826999999999999,429.56,451,0.17075664084404707,0.076416015625,0.0001,8510,0.2,-1.4587993696331978,0.04250390827655792,-0.005816364748170599,0.009777008,0.6796443462371826
2187244,147,66,-4.824999999999999,449.29,458,0.15326833399012685,0.055908203125,0.0001,8514,0.2,-1.4940994456410408,0.03639141470193863,-0.0032824073859956115,0.007513193,0.7173430919647217
2188268,147,67,-4.816999999999999,458.36,465,0.22137805726379156,0.065185546875,0.0001,8518,0.2,-1.5103128105401993,0.11943738162517548,-0.0047379361058119684,0.008846693,0.7056185007095337
2189292,147,68,-4.811999999999999,439.39,473,0.282139009796083,0.1318359375,0.0001,8522,0.2,-1.457656867802143,0.09092801064252853,-0.00822985399281606,0.013099819,0.6055971384048462
2190316,147,69,-4.811999999999999,405.9,480,0.25628665648400784,0.028564453125,0.0001,8526,0.2,-1.4058149084448814,0.03944651782512665,-0.002369840396568179,0.0039956532,0.7096803188323975
2191340,146,70,-4.813999999999999,423.86,487,0.3295013755559921,0.01806640625,0.0001,8530,0.2,-1.3702814877033234,0.11392086744308472,-0.007228124915855005,0.0055311946,0.6798929572105408
2192364,147,71,-4.819999999999999,403.53,494,0.2782413363456726,0.140869140625,0.0001,8534,0.2,-1.4222112447023392,0.14336809515953064,-0.002879283740185201,0.015417706,0.4462783932685852
2193388,147,72,-4.816999999999999,400.59,501,0.30483786668628454,0.0234375,0.0001,8538,0.2,-1.4062057510018349,0.13027894496917725,0.0003337699454277754,0.0091568325,0.7541319727897644
2194412,147,73,-4.819999999999999,383.81,508,0.2610360672697425,0.0380859375,0.0001,8542,0.2,-1.4792136773467064,0.057183608412742615,-0.002598459192086011,0.006041246,0.6015864610671997
2195436,147,74,-4.821,380.99,515,0.4204145595431328,0.052978515625,0.0001,8546,0.2,-1.4431091025471687,0.14206427335739136,-0.002321054897038266,0.008590143,0.24557799100875854
2196460,146,75,-4.821000000000001,370.86,522,0.2529231384396553,0.066162109375,0.0001,8550,0.2,-1.4889852404594421,0.10023432970046997,-0.0033998685248661786,0.011575067,0.36686402559280396
2197484,147,76,-4.819999999999999,371.42,529,0.31858852598816156,0.002685546875,0.0001,8554,0.2,-1.5113581791520119,0.1103380098938942,-0.002265539893414825,0.002028579,0.6257247924804688
2198508,146,77,-4.821,387.26,536,0.12607281608507037,0.050537109375,0.0001,8558,0.2,-1.4940877333283424,0.035009436309337616,-0.00730955367180286,0.011262193,0.5437325239181519
2199532,146,78,-4.818,377.57,544,0.17560565657913685,0.029541015625,0.0001,8562,0.2,-1.4913038238883018,0.060617364943027496,-0.0020326359663158655,0.009339847,0.04118537902832031
2200556,146,79,-4.8149999999999995,384.95,552,0.2717922190204263,0.055419921875,0.0001,8566,0.2,-1.5053358301520348,0.11737298220396042,-0.006366332585457712,0.009467408,0.3708809018135071
2201580,145,80,-4.813,397.28,561,0.1605324037373066,0.005126953125,0.0001,8570,0.2,-1.5156860947608948,0.014849647879600525,-0.002486777724698186,0.0027344762,0.2578713297843933
2202604,145,81,-4.812,402.51,569,0.07240174105390906,0.0009765625,0.0001,8574,0.2,-1.5344081297516823,-0.006610335782170296,-0.0034747979370877147,0.0018627327,0.8278700113296509
2203628,145,82,-4.812,402.51,578,0.1598950275219977,0.0048828125,0.0001,8578,0.2,-1.5422142371535301,0.05494827777147293,-0.005633614608086646,0.0031926478,0.6332887411117554
2204652,144,83,-4.81,413.37,586,0.02361544908490032,0.001953125,0.0001,8582,0.2,-1.5266321003437042,-0.018850427120923996,-0.003639446309534833,0.0043187984,0.044234395027160645
2205676,144,84,-4.808999999999999,433.06,593,0.17380765918642282,0.157470703125,0.0001,8586,0.2,-1.4939715638756752,0.029999269172549248,-0.007721816364210099,0.024865087,0.5918718576431274
2206700,144,85,-4.808999999999999,433.06,600,0.1920685558579862,0.009033203125,0.0001,8590,0.2,-1.4015156030654907,0.0244552344083786,-0.0025682598061393946,0.00835379,0.16257232427597046
2207724,145,86,-4.808999999999999,433.06,606,0.014686203503515571,0.05810546875,0.0001,8594,0.2,-1.3220607042312622,-0.019009824842214584,-0.00522573507623747,0.008138868,0.630348265171051
2208748,145,87,-4.808999999999999,433.06,613,0.009092466076253913,0.072265625,0.0001,8598,0.2,-1.412671610713005,-0.029239928349852562,-0.006519670394482091,0.016319577,0.2299896478652954
2209772,145,88,-4.811,433.06,620,0.002626923189382069,0.066650390625,0.0001,8602,0.2,-1.4996054992079735,-0.030383436009287834,-0.004601830500178039,0.009849494,0.9289388656616211
2210796,145,89,-4.809,452.19,626,0.14602087810635567,0.057861328125,0.0001,8606,0.2,-1.4834056049585342,0.023656226694583893,-0.002466774545609951,0.011199107,0.16272175312042236
2211820,145,90,-4.8069999999999995,434.42,632,0.19446019176393747,0.0009765625,0.0001,8610,0.2,-1.4814157038927078,0.04521241784095764,-0.0003119073517154902,0.0061264234,-0.05842995643615723
2212844,145,91,-4.811,433.3,639,0.17505306052044034,0.000244140625,0.0001,8614,0.2,-1.4982982277870178,0.041912663727998734,-0.001219121171743609,0.0051094587,0.04761546850204468
2213868,145,92,-4.811000000000001,451.8,646,0.3105844222009182,0.004638671875,0.0001,8618,0.2,-1.5235048234462738,0.16956579685211182,-0.004715680028311908,0.00652993,0.07108312845230103
2214892,145,93,-4.813,453.08,652,0.1851337025873363,0.10107421875,0.0001,8622,0.2,-1.4440428614616394,0.04893757775425911,-0.0011290448310319334,0.0147456955,-0.014723420143127441
2215916,146,94,-4.813,453.08,658,0.14400178543291986,0.0712890625,0.0001,8626,0.2,-1.4327485710382462,0.024816937744617462,-0.006596921157324687,0.0136191,0.17374128103256226
2216940,146,95,-4.81,472.83,665,0.003940451701055281,0.03369140625,0.0001,8630,0.2,-1.3856898173689842,-0.010794992558658123,-0.0005328988772816956,0.010238244,0.8111739158630371
2217964,146,96,-4.81,472.83,671,0.17898210184648633,0.13818359375,0.0001,8634,0.2,-1.419187217950821,0.13743236660957336,-0.0042165659833699465,0.012692242,-0.14296019077301025
2218988,146,97,-4.81,472.83,678,0.006741726479958743,0.078369140625,0.0001,8638,0.2,-1.4110300987958908,0.004409797955304384,-0.004776859714183956,0.016295236,0.04845571517944336
2220012,146,98,-4.81,471.13,684,0.002525322950532427,0.04443359375,0.0001,8642,0.2,-1.3278840407729149,-0.023100748658180237,-0.0029200042481534183,0.008353634,0.7373168468475342
